hs_class,text
negative,"HKBP berdiri itu sejak pecahnya kristen khatolik pada zaman penjajahan belanda,dl tdk ada yg namanya kristen protestan yg ada cm kristen khatolik. nTerjadilah perpecahan dan berdirilah HKBP yg p ama kali di tarutung. nNah skrg anda sy k"
negative,"Ha .. ha .. Banyak baca biar pintar ... JEPANG, AMERIKA, CHINA... Utang sama siapa ... Anda tau enggak ..?"
positive,Prabowo Sudah Kalah Menyebut Bantuan Jokowi Hanya Pencitraan Adalah Ratapan Pilu
negative,dan yang takut dengan adzan adalah IBLIS'
positive,Yg goblog itu adalah bani cebong tukang tipu penjilat penguasa yg ketahuan gerakin masa yg dibayar pakai nasi bungkus. Propaganda nasi bungkus memang selalu gagal.'
positive,Wuih... cebong sewot... '
negative,2. Gerakan ini menekankan pentingnya kerja keras secara total untuk tingkatkan potensi bangsa
positive,Padahal gubernur saat ini Djarot. Mayoritas pa ai politik di DPRD juga pendukung Ahok Djarot. Payah ya mereka URL
negative,"rezim rusak bukan memperbaiki systeamnya malah sibuk cari2 kesalahan klu itu pasti ketemu aja, KPK alatnya, besok pemerintah berganti berulang kembali engah pernah selesai siapapun organisasi, orangnya'"
negative,"Saat orang orang saling menuding antek aseng, aseng sesungguhnya be epuk tangan.'"
negative,Nah loh katanya anti aseng'
negative,"Selamat Pak Semoga Bisa Terus Berkiprah, Bahkan Tingkat Nasional."
negative,#AsyikM3nang saya sih ikut ulama saja
negative,Yang saya ketahui bahwa diketapang banyak tka asing yg berkerja di berbagai perusahaan. Termasuk pt who tambang bouksid yg viral saat pilpres dulu. nDan bisa jadi ini karena kerja sama tsb terjadi di era gubernur cornelis dan wakilnya ora
positive,Anak pecun... ga jauh2 dr hobi zina.. haha'
negative,QUE BOM SBBSNSN'
negative,"Istirahat aja pak presiden momentum sudah berlalu, saya pernah jadi saksi telinga dan mata awal rapat pembentukan PD di Pacitan tahun 2003"
negative,"Pada 1979, House Select Committee on Assassinations (HSCA) menemukan cacat investigasi yang dilakukan FBI dan Warren Commission. HSCA juga menyimpulkan ada empat tembakan yang dilakukan dan kemungkinan terdapat konspirasi di dalamnya.'"
negative,"Tak terasa genap 0 tahun mendatang 17 April 2018 akan digelar Hajatan pilpres, acara tahunan Negara Indonesia untuk memilih Presiden. Semoga senantiasa berjalan aman dan lancar. Amin."
negative,Ian pantat'
negative,"Ngakunya org pintar dan beragama, emangnya agama mana yg memperbolehkan menista dan menghujat org lain???. Jgnkan orang bodoh, org yg ( maaf) sejak lahir idiot sekalipun dia, kita hrs hargain sebagai sesama ciptaan Tuhan. Ingat iblis itu juga pintar dan sangat licik!!!'"
positive,Pendaftaran Capres untuk #Pilpres2019 saja belum dibuka sampai Agustus 2018...yang normatif begini politikus PDIP masih belum paham? #2019GantiPresiden !!
positive,Si tolol udah tau pemerintah rezim komunis ini bobrok koruptor bisa pimpinan sidang DPR paya cebong URL
negative,dari dulu kenapa bapak w kalau ke mantan mantan w selalu mgerasa sedih ampe kepikiran dan gabisa tidur lohh?!! dan w ngerasa jadi anak yg brengsek aja gt ke laki2 )))'
positive,Cina perusak bangsa!! Usir !! Stuju??
positive,#2019GantiPresiden scra konstitusional hak setiap rakyat woiii!! . Gini nih kalo planga plongo tapi kelakuan otoriter.
negative,Mari kita wujudkan Pilkada Kota Bengkulu 2018 aman dan damai. . . coki_adem86 98heruâ?¦
negative,"Mau tanya serius ini sm presiden jokowi======= knp yg ada cm islam nusantara,knp tdk ada kristen nusantara,budha,hindu bahkan kong huchu nusantara???'"
negative,KORSA Pernyataan Moeldoko Bukti Istana Takut dengan Kebangkitan Umat Islam
negative,cowo yang jago drase ana? sini ngentot sama adek - luvian'
positive,"kroasia itu kapir tauuu,ngapain blajar sm kapir...udh lupa sm kapling sorga??'"
positive,loh bukan nya mentri suha o ada yg homo?'
negative,Gue tau loh bukan yang dulu yang masih culun dan cemen semua orang pasti akan berubah perlahan2 entah itu baik / buruk )'
negative,Pada perang salib dulu itu kerajaan di Afrika terbagi dua yakni Babilonia pemeluk kristen dan Tobaco pemeluk islam'
positive,"Kejar setorang memang cukup bangsad, mana rupiah turun '"
positive,"Moga ini ada tindak lanjutnya! Pelaporan terhadap ?penista agama? Ade Armando akan dilakukan langsung oleh Ketua Umum FPI KH. Shobri Lubis ke Bareskrim Mabes Polri, Gambir, Jaka a Pusat pada Selasa (10/4) pukul 13.00 WIB. #Perhaps "
positive,Bangke.. hajar!!!!'
positive,. nOnta mati klo kebanyakan Minum'
positive,URL Ahok tng mrka trus was-was hdpnya 
positive,Itu baru di Sul Teng.. !!! Ini ekses akibat tersandera hutang china !!! #2019GantiPresiden #2019PresidenBaru #2019TetapJokowiGanti
negative,"6. Pride (Yunani -hyper phania) keangkuhan/harga diri/kesombongan ndikenal juga dengan sebutan hubris/vanity. harga diri yang tinggi dapat merubah manusia sombong, kesombongan membuat manusia terkutuk dimata tuhan.dan dapat membuat manusia mencintai dirinya sendiri-'"
negative,"Aku be anya tujuan pada hati nLogikaku yg menjawab nTapi hati tak tenang nAku be anya pada logika nHatiku sedih nKu cari jawaban dalam wasiat yg Beliau tinggalkan. nDan aku mulai menjadi terasing dan asing di mata manusia. nTak apa duhai diri, ada"
positive,Tak hanya kurang be aji nya kpk era ini...tapi era ini juga komitmen dlm pemberantasan korupsi tdk spt di era Pak sby....
positive,Admin tolol di pa ai tolol nPa ai Tolol untuk orang Tolol'
negative,"Ayu Ting Ting Goyang Hot Dekat Raffi Ahmad, Nagita Slavina Kampungan, Norak URL"
negative,Video ttg TKA dibuat oleh Malaysia tapi mengutip pernyataan saya di 
negative,PPP Jangan Buru-buru Tolak Wacana Pilkada LewatÂ DPRD
negative,"Random pagi2 ada Bapak2 nyamperin ke meja kerja trus nanya ""pake bedak apa sih biar mukanya bersih, istri saya butek soalnya"" nIngin ku jawab pake air wudhu tapi ku Kristen.'"
negative,KO GUA KAMPRET'
negative,Memek lonte pengen disodok kontol gede'
positive,Jokowi aja yg mundur. tutup. URL
positive,"Ngomong opo itu.mulut kok sepe i banci...beli kaca dulu lihat dirimu,. Broo'"
positive,Ada amin rasis. nAda amat dani nAda ratna si paiiit. nAda si onta. nAda si lobang anus. nJdi jngan takut wo wo.. nKehabisan obat penenang yh.'
positive,Tunggu komando IMAM BEJAT CABUL . TAIK BEER nApe2 bawa ULAMA... nDASAR Banj SEMPAK'
positive,Kabinet berantakan nPemecah belah persatuan hanya ad di rezim ini'
positive,"dih! Ngaku lebih pinter dr orang politik, NGACA DULU WOYY tampang loe aja k k orang BEGO!!! ckakakakak'"
positive,"#PDIPerjuanganMenang Dengan menekan perusahaan tambang dgn target proyek yang impossible, lalu dilelang murah pada antek Cina. NTB contoh kasus. PDIP mau menang? Dasar bajingan'"
positive,ga caya sama mulut buaya mu bwang'
negative,"2019, jika SBY PRABOWO menyatu melawan MEGA JOKOWI , maka peristiwa 2004 akan terulang dimana PDIP yg Incumbent dikalahkan mutlak oleh SBY. Tp jk JKW MEGA SBY melawan PRABOWO, mk Pilpres selesai sudah. Jk 3 Poros di Pilpres, mk salah satu Lawan"
positive,Jangan kayak BANCI KALENG kamu GATOT sering buat Gaduh gentleman lah MUNDUR siap bersaing di pemilihan presidens 2019 melawan Jokowi
negative,bebal...
negative,"5. Yang terakhir karena Indonesia negara dengan populasi muslim terbesar di dunia, yang mana Islam saat ini merupakan musuh barat &amp Komunis karena dapat menghambat agenda dan kepentingan mereka.(Obviously)'"
positive,umuh &gt persib npersib kunyuk!!!! '
positive,Buat film muslim pilih ahok mati nggak di sholatin...... dijamin laris ......
negative,"tapi banu banu Yahudi itu tentu beda dgn banu banu Kristen Syriac. salah satu perbedaan ad banu Yahudi tetep pake ""eloah/ elohim/ yahwe/"" sedangkan Syriac sudah pake ""alah/ allah""'"
negative,Eh kenapa muka merah2 tu? Tak dpt cendol ke? Bukan la setan cuaca skrg ni panas.'
positive,Pemberitaan saracen diframing katak seakan tim prabowo dan anies-sandi. Seberulnya itu media menumpahkan sakit hati katak dan cebong. *Ehe
negative,"Giat Bhabinkamtibmas Brigpol Mbs Sihombing pd hari ini, Rabu 11 April 2018 melaks sambang desa dan tatap muka sekaligus monitoring Kamtibmas menuju Pilkada 2018 di Desa Lobusiregar I, tepatnya dirumah Rudi Panjaitan, Helman Siahaan dan Hotman Siahaan"
negative,Syg bgt ya ngeliat perempuan kyk gini... Gak ada status apa2 tp udah nemplok sm laki-laki sana sini. Haduh.... nNagita Slavina Blak-blakan Sebut Ayu Ting Ting Kampungan VIVA URL
negative,Jgn lupa juga kang.... Umat katolik dan minorutas lainnya diperhatika. Gubernur untuk semua golongan bukan satu golongan.'
positive,Kan ane bukan cebong udeh dibilangin dari maren masih ngeyel nSitu maksa ane jadi cebong?'
positive,"Kelemahan gerindra itu ada di orang ini,...Prabowo turun elektabilitasnya karena CONGOR fadlizon spt DURNO'"
negative,"Selamat Hari Ka ini, setiap kali selalu dirayakan, lalu apa maknanya kali ini ð?¤?"
negative,"Foto memang bisu ,tpi memiliki banyak a i yg sush dia ikan,sma sepe i kamu susah dia ikan,mau putus atau lanjut ?'"
negative,wakakakaka aku sudah mengalaminya tetiba muncul grub wa a.n Bani Abd Hadi a.k.a mbahku dan seketika aku mek kenal beberapa orang saja 
negative,"abam pres badar nuqaba pling boekkkð???, dia ni hebat dlm bidang agama, kut nk tgur member sndiri, selalu wat lawak hambar (yg pling aku ingt smpai skrg lawak dia klau org ckp jom gerak skrg dia akn gerakkn badan dia yg chubby tu)ð???,"
negative,â??Seorang anak Pekan telah mengilhamkan Dasar Ekonomi Baru (DEB) dan menjadi penggerak utama kepada kemajuan ekonomi luar bandar. Beliau adalah Allahyarham Tun Abdul Razakâ?? - DS #MalaysiaMemilih #HogohUndi
negative,"Hahaha sialaaan nih si , ternyata klo lg laper, presiden juga mau disikat sama doið???ð??½ "
positive,"mau menasehati kali supaya ga ugal2an nih rezim.. eh tapi ini negeri sdh keburu ancor..nah skrg saja ekonomi morat marit,, kacaoooooo!!'"
negative,"aelaah silit kebeler,. ngapa dikasianin,., org makin sayang saya pak,., nsetelah kasus sosmed gw baru sadar bbrapa hal di seitansai kemarin.,. ntar gw ceritain,., duuuhhh,. '"
negative,"iya, tdi cacad'"
positive,"tahun 2019 Rakyat makan ASPAL dan BETON ini adalah solusi jitu mengurangi kemiskinan KEAHLIAN CEBONG HANYA 1, TUKANG TIPU !!! cebong mah gitu, goblok nggak ketulungan. Plonga plongo mengakibatkan optimisme berlebihan #2019GantiPresiden #"
negative,"Aku pernah sempat baca ttg Harun Yahya ini yg 'membelot' ke kubu Yahudi dgn Freemasonry nya...kdg suka ga percaya..."""
negative,Kita Maju Bersama Ulama Kita Bergerak Bersama Semua Tokoh Agama untuk Indonesia #NderekGusMus
negative,
negative,"#MukidiKepedean Pe anyaan mudah ya.. Dijawab yg keras , tapi Saya minta dijawab yg keras , siapa nama Saya ?"
positive,Kemarin di hujat sekarang mengharap dasar para bani kamprey'
positive,"Penjelasan sy bukan FITNAH, silahkan DIBANTAH Apollinaris Darmawan Sebut Al-Quran Kitab Sampah"
positive,"Monyet aja koloe dbilang saudra sma elo pasti ogah, hdupmu kok gini amat ya.. Toe Hati apa comberan? '"
negative,Body Lufra/ scrub dg bhn dasar lidah buaya utk mlembabkn kulit &amp lbh bcahaya info 087812026394 #BMI'
negative,Tak punya cacat di masa lalu krn blum bermasa lalu'
negative,jangan2 penganut bumi datar juga? nsoalnya teori bumi bulat kan dari orang asing yg notabane musuh mereka.'
positive,"Becak Warga Binjai Hendak Disita karena Gunakan Tenda Be uliskan #2019GantiPresiden, PKS MERADANG Bukti pemerintah panik dan takut? "
positive,lebih baik jokowi mundur..
negative,Munas Alim Ulama PPP di semarang. menghasilkan lima rekomendasi syarat dan kriteria-kriteria bagi Calon Wakil Presiden yang akan mendampingi Bpk Jokowi di 2019 mendatang. #Romahurmuziy
negative,Luar biasa pencerahan nya.. Saya merasa gagal sebagai anak ekonomi.. Wkwk
negative,"Kafan berasal dari budaya yahudi, kenapa umat Islam mengklaim ?'"
positive,Oleh rezim skrg atas kendali Negara Cina Komunis yg mjd patron tunggal rezim anti islam ( Jokowi )
negative,itu tanda nya mau pilkada pilpres
negative,Misi4 Membangun masyarakat yang gotong royong toleran dan harmoni selaras nilai budaya Jawa Barat yang luhur #No3JabarAsyik #Asyikm3nang
negative,Ketabahan pasangan En Taufiq dan Puan Nurliyana yang wajar dicontohi.. jom kita beri sumbangan untuk meringankan beban pasangan ini... come on twitter do your things! BSN - 0510541000096745 Bank Islam - 05058020145124 (Nurliyana bte Abdul Raziff) 
positive,"Apaansi tai baru gt doang belagunya udah selangit. Ga inget ada karma? Ntar bbrp taun lagi kalo idol lu flop, gua ketawa paling keras.'"
negative,celeng kgn gw y'
negative,"#TerangiNegeri dengan budaya , yuk pada visit ke purwoke o ,mumpung Ada even rakyat. . #purwoke o #e avaganzabanyumas"
negative,"Presiden itu punya dana taktis, dia bisa menggunakan untuk kepentingan rakyatnya di luar program2 pemerintah yang sudah ada. Soal program banyak sekali ada pembangunan infrastruktur, KIP, KIS, Se ifikat tanah, perhutanan sosial, BBM 0 harga, padat karya,"
negative,Aamiin ya Allah ((( nTimnya Kinan aja sampai pelatihan ular karena dia dapat di rawa-rawa. Aku dapatnya di sungai gede gt dan musuhnya buaya wkwkw'
positive,MAJU KAMU NGATAIN MAMA AKU BOLOT'
positive,"Grombolan Kadal Jidat gosong,mmg bgtu, sukanya ribut tapi klo grombolanya yg salah pura2 Budek..Dasar Grombolan Cingkrang URL"
negative,Segitu gentarnya dia takut terhadap Kafir... '
positive,betul padahal saracen juga siapa sehingga akun yang kritis dianggap saracen kan aneh jokowi
positive,siapa bego lu bukan tmn gua najis dah kesel sendiri gue'
positive,Kafir kristen selalu buat ulah
positive,"Tau dong, bau baunya udh keciri ini sipit buluq'"
negative,"kayak memegang, bukan mucikari'"
negative,"Guru TK Dharma Wanita Persatuan Desa Plumbon Porong Deklarasi anti HOAX ,Ujaran kebencian, issu sarah dan mendukung pilkada damai"
negative,Anjir serem maennya begituan '
negative,Kayaknya bisa? Atau cuma bank te entu? Bilang aja mau jual uang asing/tukar ke rupiah'
positive,Onta yaman ni nsetahun lagi gua depo asi loe'
negative,Hati-Hati Berita Pilkada yang Berbau Hoa madiun #madiuntoday #100thmadiun #KotaKarismatikMadiun #tolakcukaiilegal Kunjungi juga
positive,anak cocot ya ini '
positive,udah ketauan HOAX ya Fahri mangkanye klu ambil berite tuyg update jangan dari tong sampah diambil terus di SS taunya berit udah
negative,Mantaaap DM dekat sama Banser bang 
negative,"ternyata ada lebah yg gak suka bunga, tapi makan bangkai. gw penasaran madu nya kaya gimana '"
positive,Pantas indonesia mundur dalam segala bentuk
negative,Naahh yg dongo yg bilang hekell hahaha'
positive,Hahahaha blunder lu cebong... Yg gak ngasih tuh pem. pusat dengan Alasan HAM... kalau rakyat aceh ya mau kali pun.. Cobak kau datangi pemerintah bilang suruh buat hukum islam kaffah di aceh... Klau DPR a
negative,BANGSAD GUA DAH NYELEM AMPE BAWAH2 BALIK LGI KE ATAS!1!'
negative,Saya tak bisa dipancing-pancing dgn urusan penistaan atau bukan. Saya hanya berbicara pemahaman saya ttg fiksi dan kitab suci.
positive,Cebong kacung itu kt temen gw dungunya sampe ke tulang sum2..jd jgn buang2 energi debat sm mereka.. '
positive,PA AI KORUPSI SAPI......goblog...'
positive,"Signal kntl !! Pemeliharaan apalagi ini ? Niat gak sih ? Login twitter doank susah amat, gmn mau open redtube ? Cetan !! '"
negative,Matane aku moh aku kafir wkwkwk'
negative,Jadi inget fesbuk anjir lupa aku'
negative,"kalo aing sih bakal bilang ""hilih kntl""'"
positive,"Nikita Mirzani udah pake hijab, yg masih ngomong cebang cebong udah pernah fantasiin doi belom? Uh ah!! #cokoRers'"
negative,"Tatapannya dialihkan ke arah lain, enggan menatap pria mencurigakan itu. Lagipula, siapa yang pe ama kali membuat gaduh suasana? Jika Angie tidak menemukan ada seorang pria asing yang tidur di sofanya, kejadian sepe i ini tidak akan terjadi."
negative,Lahir dan berkembangnya gerakan komunis di Indonesia tidak dapat dipisahkan dari sebuah organisasi yg bernama ISDV'
negative,Shaheizy Sam wajah baharu Calpis
negative,"""Ya, terserah lo aja."" Balasnya kembali fokus kepada kerjaan kita. Kami mengerjakan tugas project Seni Budaya hanya dalam 2 hari, setelahnya langsung dikumpul dan dipresentasikan. Bersyukur nilainya memuaskan. Setelah kejadian project itu kami makin"
negative,Ga bakalan bro
positive,KELAKUAN bodoh masuk KATEGORI perbuatan TIDAK MENYENANGKAN nKelakuan sontoloyo sangat MENGANGGU persatuan BANGSA nKelakuan NAIF secara TIDAK LANGSUNG sbg bentuk INTIMIDASI thd ULAMA nKelakuan 
negative,Monyet Turun ke Pemukiman Warga Cibadak Sukabumi - URL
positive,"Kotor ga masalah yang penting bahagia warganya, cebong mana nge i'"
negative,mau giveaway taplak meja tapi nanti yang menang cuma therichchenle'
positive,Sudah kebuka satu demi satu kebusukab kubu anies sandi yg menang dengan tanpa berkah URL dan Prabowo berusaha cuci tangan
negative,WKWKWKWK BODO BANG'
